version,type,target,status,mr_sources,google_doc_sources
4.9.0,path,/download_nvram,no,operation-api!198 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/198),
4.9.0,path,/download_nvram,no,operation-api!198 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/198),
4.9.0,path,/upload_nvram,no,operation-api!198 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/198),
4.9.0,path,/upload_nvram,no,operation-api!198 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/198),
4.9.0,schema,ReplicaVmWhereInput.method,no,operation-api!160 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/160),
4.9.0,schema,ReplicaVmWhereInput.resource_version,no,operation-api!91 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/91),
4.9.0,schema,ReplicationMethod.enum,mention,operation-api!93 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/93); operation-api!84 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/84); operation-api!45 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/45),VPC 安全服务 API (https://docs.google.com/document/d/1Yh1wFd8xgb5Z_6APRJE3jXBDZKtfUzMRmRyJwRHPPeg/edit)
4.9.0,schema,SyncReplicationObjectStatus.enum,mention,operation-api!93 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/93); operation-api!84 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/84); operation-api!45 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/45),VPC 安全服务 API (https://docs.google.com/document/d/1Yh1wFd8xgb5Z_6APRJE3jXBDZKtfUzMRmRyJwRHPPeg/edit)
4.9.0,schema,SyncReplicationStatus.enum,mention,operation-api!93 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/93); operation-api!84 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/84); operation-api!45 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/45),VPC 安全服务 API (https://docs.google.com/document/d/1Yh1wFd8xgb5Z_6APRJE3jXBDZKtfUzMRmRyJwRHPPeg/edit)
4.9.0,schema,NvramDownloadResponse.data.data,mention,operation-api!243 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/243); operation-api!236 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/236); operation-api!211 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/211); operation-api!160 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/160); operation-api!116 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/116); operation-api!113 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/113); operation-api!107 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/107); operation-api!102 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/102); operation-api!94 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/94); operation-api!87 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/87); operation-api!70 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/70); operation-api!54 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/54); operation-api!50 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/50); operation-api!46 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/46); operation-api!45 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/45); operation-api!42 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/42); operation-api!35 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/35); operation-api!32 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/32); operation-api!29 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/29); operation-api!26 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/26); operation-api!24 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/24); operation-api!7 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/7),OApi Label 添加 Key Value 自测 (https://docs.google.com/document/d/17NoW1HrIPD3EKc9ujYE8ZZVcbiyBW4edGYfB390mNIw/edit); VM 相关操作支持 VPC API (https://docs.google.com/document/d/1AIpK5l_-DVR98tucAVfI_6MhgPO2kVNBySSUeVC2ZkY/edit); 备份计划 API (https://docs.google.com/document/d/1J3rm7Llu2ANLKHrkagAK3NanaVgPDpS2XgPwWKbjNO4/edit); OApi 添加独占逻辑容量自测 (https://docs.google.com/document/d/1NTIecYSBo7TKmKaQufUf0pmYFJQe240-A87LDpXbvwU/edit); VPC/VPC子网/路由表 API (https://docs.google.com/document/d/1Y6v8qWl3Js8S-sc4cYkwsT8dDXI8rB2nErKnjZUlr74/edit); VPC 安全服务 API (https://docs.google.com/document/d/1Yh1wFd8xgb5Z_6APRJE3jXBDZKtfUzMRmRyJwRHPPeg/edit); VPC 网关服务 API (https://docs.google.com/document/d/1nwP2Wa0a5IPb7JTDWCFTQ98PEkuiO5bpWfEOwZaUVDs/edit); 从内容库模版批量创建虚拟机 API (https://docs.google.com/document/d/1oAdA59G69GYIct5xro0XWo9lcOXzrC1rTd7Knq3PvJ8/edit)
4.9.0,schema,NvramDownloadResponse.data,mention,operation-api!243 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/243); operation-api!236 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/236); operation-api!211 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/211); operation-api!160 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/160); operation-api!116 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/116); operation-api!113 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/113); operation-api!107 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/107); operation-api!102 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/102); operation-api!94 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/94); operation-api!87 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/87); operation-api!70 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/70); operation-api!54 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/54); operation-api!50 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/50); operation-api!46 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/46); operation-api!45 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/45); operation-api!42 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/42); operation-api!35 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/35); operation-api!32 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/32); operation-api!29 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/29); operation-api!26 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/26); operation-api!24 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/24); operation-api!7 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/7),OApi Label 添加 Key Value 自测 (https://docs.google.com/document/d/17NoW1HrIPD3EKc9ujYE8ZZVcbiyBW4edGYfB390mNIw/edit); VM 相关操作支持 VPC API (https://docs.google.com/document/d/1AIpK5l_-DVR98tucAVfI_6MhgPO2kVNBySSUeVC2ZkY/edit); 备份计划 API (https://docs.google.com/document/d/1J3rm7Llu2ANLKHrkagAK3NanaVgPDpS2XgPwWKbjNO4/edit); OApi 添加独占逻辑容量自测 (https://docs.google.com/document/d/1NTIecYSBo7TKmKaQufUf0pmYFJQe240-A87LDpXbvwU/edit); VPC/VPC子网/路由表 API (https://docs.google.com/document/d/1Y6v8qWl3Js8S-sc4cYkwsT8dDXI8rB2nErKnjZUlr74/edit); VPC 安全服务 API (https://docs.google.com/document/d/1Yh1wFd8xgb5Z_6APRJE3jXBDZKtfUzMRmRyJwRHPPeg/edit); VPC 网关服务 API (https://docs.google.com/document/d/1nwP2Wa0a5IPb7JTDWCFTQ98PEkuiO5bpWfEOwZaUVDs/edit); 从内容库模版批量创建虚拟机 API (https://docs.google.com/document/d/1oAdA59G69GYIct5xro0XWo9lcOXzrC1rTd7Knq3PvJ8/edit)
4.9.0,schema,NvramDownloadResponse.error,mention,operation-api!169 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/169); operation-api!160 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/160); operation-api!118 (http://gitlab.smartx.com/frontend/operation-api/-/merge_requests/118); tower!18531 (http://gitlab.smartx.com/frontend/tower/-/merge_requests/18531),可观测性服务-取消系统服务关联 API (https://docs.google.com/document/d/1hc3kzOvWe8kzfRgF4hjM08wK60eANLnAwGh5iqYXjkk/edit); 清理系统服务的报警通知配置 API (https://docs.google.com/document/d/1pH1bjY3sJTb3a_qLVdirZwnadOucY5Hu6D_Ky6G7SYk/edit)
